Hardware,Model,Training Time (s),RAM Delta (GB),Disk Delta (GB),Accuracy,F1 Score,PR-AUC,Fraud Recall
CPU,Random Forest,74.5855,0.2572,0.000365,0.9274,0.3641,0.8751,0.2237
CPU,XGBoost,11.5573,-0.0057,0.0,0.9455,0.5882,0.9542,0.4188
CPU,LightGBM (baseline),15.2747,0.0056,0.0,0.9485,0.6224,0.9578,0.4566
CPU,LightGBM (optimised),36.0215,0.0026,3.7e-05,0.9921,0.9585,0.9545,0.9751
GPU,Random Forest,39.0416,-0.0337,0.000197,0.9274,0.3641,0.8751,0.2237
GPU,XGBoost,9.2567,-0.0002,0.0,0.9455,0.5882,0.9542,0.4188
GPU,LightGBM (baseline),11.8384,-0.0319,0.0,0.9485,0.6224,0.9578,0.4566
GPU,LightGBM (optimised),23.5402,0.1682,2.9e-05,0.995,0.9728,0.9735,0.9709
TPU,Random Forest,8.7839,0.0426,0.0,0.9274,0.3641,0.8751,0.2237
TPU,XGBoost,2.113,-0.0146,6.1e-05,0.9455,0.5882,0.9542,0.4188
TPU,LightGBM (baseline),4.6028,-0.0147,0.0,0.9485,0.6224,0.9578,0.4566
TPU,LightGBM (optimised),12.0895,0.2009,0.000156,0.9936,0.9659,0.9671,0.975
